[个人合并 2.0]
! Title: 去广告规则，酷安反馈反馈
! Homepage: https://github.com/qq5460168/666
! Expires: 12 Hours
! Version: 2026-08-12 21:06:56（北京时间）
! Description: 适用于AdGuard的去广告规则，合并优质上游规则并去重整理排列
! Total count: 16710
# AdClose 专用广告规则
# 生成时间: 2026-08-12 13:06:55（北京时间）
# 格式：domain, <域名>
domain, -normal-lq.zijieapi.com
domain, 0.r.msn.com
domain, 000123456789.online
domain, 000123456789.site
domain, 000dn.com
domain, 001union.com
domain, 0086555.com
domain, 00880808.com
domain, 00oo00.com
domain, 00xvppy.cn
domain, 01.gxso.net
domain, 010teacher.com
domain, 010xk.com
domain, 018520.com
domain, 01daa.lubih.com
domain, 01daa.lutci.com
domain, 01daa.lutgh.com
domain, 01daa.luvbr.com
domain, 01daa.luytr.com
domain, 01v62.xyz
domain, 022003xs.com
domain, 022aifang.com
domain, 023hysj.com
domain, 02539717.com
domain, 025suyu.com
domain, 025zxcv.com
domain, 0272aa.com
domain, 0272dd.com
domain, 027dir.com
domain, 027pbj.net
domain, 02asdf.com
domain, 0310cn.com
domain, 0313413.com
domain, 031dfgh.com
domain, 033dfgh.com
domain, 034dfgh.com
domain, 035caop.com
domain, 036e.cn
domain, 039nez.com
domain, 03asdf.com
domain, 04101115zzqzzq.metalnews.cn
domain, 0451106.com
domain, 0531kt.com
domain, 056opui.com
domain, 0592weixin.com
domain, 0594003.com
domain, 05pg9z.com
domain, 06362.com
domain, 063tutu.com
domain, 064ioio.com
domain, 065yuyu.com
domain, 066hjkl.com
domain, 074adzx.com
domain, 0756sjlm.com.cn
domain, 080999.cn
domain, 08241fb.hpa163.nl
domain, 085cczz.com
domain, 087tqb.cn
domain, 08de583.p0nkhy03m.top
domain, 093yuht.com
domain, 094kk.com
domain, 096iokj.com
domain, 09_19.supfree.net
domain, 09jsufg.com
domain, 0aqpqdju.me
domain, 0bc.twqbdfff.top
domain, 0er7pc8.xyz
domain, 0i.metalnews.cn
domain, 0krdn3.com
domain, 0m483y7.cn
domain, 0ns32h.com
domain, 0p7w.cn
domain, 0spw.t5124f9.vip
domain, 0stats.com
domain, 0x01e7.website
domain, 0xxd.com
domain, 0yq00i.cn
domain, 1.1010pic.com
domain, 1.11130.com.cn
domain, 1.201980.com
domain, 1.21shebao.com
domain, 1.51sxue.cn
domain, 1.aili.com
domain, 1.bashenghuo.com
